komentar_final
video yang bakal tembus juta penonton kalau saja indonesia masuk piala dunia
mau nonton tapi masih sakit banget rasanya kalah titip komen dulu dah ya
gpp thn lagi dicoba dg pelatih baru dan squad yang tersisa
merinding
kekalahan paling menyakitkan
pecat kluivert dan turun eric tohir dari pssi kembali kan coach sty
piala dunia brnonton aja dirmh cetak gol sush boro main pildun
udah lah kami kecewa
andai alex pastoor sty
pk out
""
gw pernah bilang kangen video inside timnas locker room tapi itu era sty bukan era pk di era ini justru kaya era sm yang mana timnas mengalami penurunan setelah era lm
trimakasih untuk perjuangan garuda brperjuangan blum berakhir tetap tegak menuju kberhasilan brkalo bukan hari ini bukan tahun ini brini tim untuk masa depan bravo timnas kalian pejuang terhebat yang tlah membuat kami bangga memiliki timnas yang maju naik level
kluivert out anjingpelatih tarkam
pecat pelatih kluivert please
kembalikan shin taeyong sty
yang milih s patrick jd pelatih kepala timnas fiks sih itu org tertolol se indonesia no debat
patrick kluivert out sangat tidak cocok melatih timnas strateginya mudah dibaca lawan
patrik out please
pelatih dan erik tohir bngsat
harus bisa kita curi akibat pelatih petrickout susunan pemain yang begitu kurang memuaskan klok yacob beckham nilai kamu di lapangan kamu masih belum cocok untuk pemain piala dunia pemain aja bnyk gak respect apalagi publik kecewa dengan gaya permainan loe
mewah doang enggak punya gameplay gunanya apa sedungu itukah dipertandingan sekrusiall itu tidak bisa membaca permainan
patrick kluivert kunciin di wc biar enggak experimen lagi si kluivret
""
bismillah optimis point
respect dngerin sholawatan di tanah suci arab kita sodara sebagai seiman
yang saya takutkan sekarang bukannya wasit tapi pelatih kita sendiri
tugas berat penentuan ini indonesia maju tak gentar pakai saja amunisi naturalisasi semua gppdemi bangsa
banyak berdoa kawan
taktik kocak ala patrik
beckham kebanyakan ritual pegang rumput
semoga allah swt memberikan kemenangan indonesia atas irakbrbrdan semoga allah swt memberikan kekuatan hingga menit kepada para pemain yang berlaga pagi ini dan dijauhkan dari segala kecurangan wasit brbraaamminn ya allah ya robb tetap semgat menuju world cup didepan matabrpantang menyerah sebelum berperang
yakop yance bekam klok wajib maenkarena mereka timnas bisa juara
allahuma soliwasalim wabarik alaih solu alaih
kadang mau nangis timnas di obok di pssi
semoga trio idzes ridho hubner diturunin sama coach patrick amin
pls buat amanin point yang lebih aman
ahhh sudahla
kembalikan sty tolong
trima kasih yakob dan marc klok yang sudah mengubur mimpi timnas indonesia lolos piala dunia
tangan hampa broo teamnas garuda zonk
pemain lokal tarkam gak usah dipanggil timnas lagi cuma jadi beban tim aja pssi harus cari pemain diaspora di seluruh pnjuru dunia
pertandingan yang sulit tapi saya optimis indonesia kalah karna realistis aja dengan main kaya kemarin jauh deh buat menang jangan kebanyakan mimpi bangun woiiii indo gak pernah menang lawan irak
sampai jumpa di tahun depan
bibarkati bismillah
pertandingan lawan iraq dipimpin oleh wasit yang memberi qatar penalti saat final piala asia vs jordania firasat saya kalaupun wasit itu menghadiahi kita penalti tapi irak akan mencetak atau gol karena pelatih kita the special one patrick kluivert
tolong jgn pake formasi towel lagi
wajahnya kok terlihat tidak semangat ya
mau menang mau kagak petrik harus out setuju angkat jempol
matchday in jeddah brmafia in jeddah
jujur sj wkt indonesia dikasih hadiah finalti dan di eksekusi kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnyadan berharap indonesia lolos piala dunia tapi berjalannya pertandingan sampai selesai ternyata indonesia kalah ini hati sedihnya mnt ampun sampe nangis
terus lah bermimpi jangan bangun
assalamualaikum dari arab saudi brsemoga timnas indonesia sukses lawan irak kalau saudi lolos langsung semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia kalian pantas banget rakyatnya baik fansnya luar biasa timnya juga keren banget
mainkan egy dia sudah improve insyallah
just play proven system
paes ridho idzes hubner diks james haye pelupesy verdonk oeratmangun olebrbrselebihnya duduk manis dibangku dlu yatermasuk si kluivert tidak ush di dlm tribun ajakarna gw udh males ngeliat mukanye
yaaaaa aampuuunn nih sama patrick cs sampe masih aja yakobklockbeckham di maenin sampe kalah lawan irak mending pecat patrick cs
selamat para pejuang
bismillah
gol terjadi vs irak
emil auderomaarten paesernando arinadeobrbrsandy walshmees hilgersshayne pattynama kevin diks jay idzes rizky ridho calvin verdonkdean jamespratama arhanbrbrjoey pelupessy thom hayericky kambuayaivar jennerbrbrmiliano jonathanswitan ol romeny marselino ferdinaneliano reijndersragnar oratmangoenegy maulana vikribrbr lawan saudi amp iraq
sholawatan sek lurr
apa pun hasilnya kami tetap bangga pada kalian usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil terima kasih sudah memberikan yang terbaik
please jngan mainkan mark klok beckham
kabarnya beckham dan klok cedera dan tidak bisa main nanti malam brbrsebuah kerugian besar buat timnas irak
vibes nya udah serasa timnas indonesia main di piala dunia
ayooooo fokusssssssss
saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi
ayo pulang marilah pulang marilah pulang bersama
serahin sama coach pastoor kalah juga gak marah netizen karna emang ngebenahin sesuatu yang udah kusut emang susah kusut nya di mulai dari laga australis vs indonesia seandainya gak cobacoba mungkin kita gak akan bertanding disini skrg udah duduk manis di depan layar sambil nonton yang belum lolos sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali
mending panggil sadiki ramdhani di bandingkan klokbeckham punya power penjelajah skill teknikal
timnas aja bermaulid yang anti maulid nonton ini gimana ya reaksinya hahaha
patrickout
pengen dah kerja jadi kitman gitu seru kali yaa
erick thohir berkatatidak usah saling mnyalahkansypa suruh kalian mimpi untuk piala duniabrlebih baik bermimpi aja biar bumn semakin membaik
semenjak pelatinya raja judi petrik sekarang tidak antusias banget liat timnas
gak nyangka patrick begitu gobloknya masukin beckham dan marklok starter duluan
gw sangat yakin timnas menang dgn selisih gol asalkan lineup yang diturunkan benar pemain terbaik dan layak utk main
yakob yance beckammarklok out jangan di mainin
filing gak enak
out patrick kluivert
timnas indonesia kita cuma punya satu nyawa sekarang untuk menuju piala dunia tolong fokus
ngapain bikin konten minkami lagi sedih malah nambah nambahin
pemain kaya lilipaly bahkan di panggil ke round pun sebenernya tidak layak apalagi masuk dsp kaya kemarin pemain kaya nathan malah tidak dimasukin ke dsp aneh
kiper martin pasbrbelakang jay ridho jastinbrkiri verdonkbrkanan kelvin dikbrtengah joy amp hayebrpenyerang ole jonatan ragnar brbr
plis jngan hujat pemain brtetep yang slh itu pelatih brdikasi diaspora k pakek super likbrkalah menang pasang muka datar
balikin sty
allahhuma sholi ala sayidina muhammad indonesia menang
saya percayabrtimnas kitabrmampu gasak irakbrmateri pemainbrsudah dilevel yang samabrtinggal bagaimana brcoach patrick brpintar membacabrkondisi pemainbryg akan diturunkanbrklok dan bechambrdi bench ajabrsemangat garudabrinsyaallah kitabrke piala dunia braamiin
apapun hasilnya nanti janganlah saling menyalahkan mereka sudah berusaha semaksimal mungkin sisakan ruang untuk ikhlas
yang awal dikuatirin wasit eh ternyata harus lebih kuatir ke pelatih sendiri
rumah pk bisa di jarah tidak tolol banget keak anggota dpr
tim ini potensinya besar namun pelatihnya level amatir di eropa
wes ojo kakean alasanmusuh iran kudu menangkalah tidak usah balik kabeh nang indonesia
we believe bermain dengan bangga penuh rasa percaya demi lambang garuda di dada bismillah indonesia menang atas irak we believe
sudah sampai dititik ini kita hanya bisa mendukung dengan tulus apapun hasil nya
boss memang kita emang gak bs muluk ke pd tapi kalo bisa diusahakan kenapa malah nyeleneh satttttbrsecara game kemarin sebenernya bisa dimenangin kalo strateginya bener
terima kasih
last hopetimnas show your quality
pemain liga di skip atau jgn di mainkan kecuali riski ridho jika msh berharap masuk pildun laga krusial
pssi dan jajaran nya tai lah
takut banget sama line up lawan irak
bismillah barokah sholawat bibarkatil musthofa rasulillah saw semoga indonesia menang lawan irak biidznillahalfatihah
tuhan yesus semoga menang tuhan dan lolos aminn
bismilah yakop sayuri jgn maen sma klok
beckham klok eliano haye kecapean baru pulang dari bangkok
cemana mau menang kalau pelatihnya begini tidak memberikan peforma terbaik dan tidak melihat situasi tim mana yang cocok bertanding di lapangan
semoga indonesia bisa menang lawan irak dan indonesia ngegolin gol aamiin
hatihati patrick main sambun lagi pakai skema pasti kalah
coret yakobklokbekam
pecat patrik ireng gak becus jd pelatih pemain pemain ampas lapis koq bisa bisanya dimainkan di laga penting cuihhh
erik tohir lg bhgia banget krn pelatih yang di rekutnya bagus bisa kalah sama arab
kuasai dulu asean lawan thailand aja masih ngos ngosan malah bermimpi mau di piala dunia jangan giliran lolos pildun jadi lumbung gol lawan pun jadi malas cetak gol
beckam klok gak usah masuk line upkacauu gak bisa maen
line up yang bagus please
jangan turunkan pemain liga seperti beckam dan klok untuk bek tengah serahkan ridho
